你開一個慶祝會的時候我不能會參加	OORROOOOOOOOOROO
我們跟一起坐捷運	OOROOOOO
我要過坐下	OSROO
可是我們我坐的地方給老人	OOOOMOOSSOOO
	
走路時候	OOMO
我經過一家花店	OOOOOOO
我告訴她「等一下」	OOOOOOOOO
我進花店去買一些花	OOOOOOOOO
	
我給她時候	OOOMO
她先笑再問我「誰死了嗎？」我覺得不怎麼高興	OOOOOOOOOOOOOOOOOOOOO
可是我下面看時候	OOOMOOMO
她把我的手拿起來	OOOOOOOO
我高興了	OMOO
	
看電影時候	OOOMO
我都覺得這個電影很有意思	OROOOOOOOOOO
可是現在我把什麼事都不記得	OOOOOROOOOOOO
	
每天愛文六點半去	OOOOOOOS
他平常睡覺八個小時	OOOSSOOOO
今天他先要做功課再到學校去上課	OOOWWOOOOOOOOOO
	
星期一到星期五他得到學校學	OOOOOOOOOOOOS
今天他有一個很難得考試	OOOOOOOOSOO
所以他一點不放心	OOOOOMOO
	
可是	OO
沒什麼關係	OOOOO
因為他真是很聰明學生	OOOSOOOOMO
和很用功	SOOO
	
他有一個同學	OOOOOO
他的名字是林美美	OOOOOOOO
考試上的時候他們打算一起去吃飯	OOROOOOOOOOOOOO
然後他們坐公共汽車到電影館去	OOOOOOOOOOSSSO
	
他在教室裡面	OOOOOO
他跟同學人一起說話	OOOOROOOO
因為張愛文很聰明和用功	OOOOOOOOOOO
所以他幫他的同學人懂很難課	OOOSOOOORSOOM
	
他們從學校坐捷運到電影院去	OOOOOOOOOOOOO
因為捷運有很少人	OOOORWWW
所以他們覺得很舒服	OOOOOOOOO
	
在電影院	OOOO
他們看小孩子的電影	OOOMOOOOO
	
林美美喜歡那部電影	OOOOOOOOO
可是張愛文討厭那部電影	OOOOOOOOOOO
他覺得小孩子的電影很無聊	OOOOOOOOOOOO
可是林美美覺得小孩子的電影可愛	OOOOOOOOOOOOOMO
	
電影以後	MOOO
他們回家	OOOO
張愛文馬上睡覺	OOOOOMO
可是林美美明天英文的考試	OOOOOOOMOOOO
因為她應該念英文	OOOOOOOO
所以她還沒睡覺	OOOOOOO
	
再忙我也高興你找到那個工作	OOOOSSOOOOOOO
下個禮拜如果你有時間我要請你去吃晚飯	OOOOOOOOOOOOOOOOOO
好不好？	OOOO
我聽到你找到工作	OSSOOOOO
太好了	OOO
	
我想祝你找到工作跟好好兒地聊天	OOSOOOOOOMOOOOO
可是對不起我不能參加	OOOOOOOOOO
因為我現在忙得不得了	OOOOOOOOOO
	
我老闆今天早上才通知我幫我他的忙	OOOOOOOOOOOOROOO
所以我剛剛才知道不能參加	OOOOOOOOMOOO
	
我們改天再聊天吧	OOOOOSSO
再見	OO
	
我昨天聽說你最近找到工作	OOOOOOOOOOOO
恭喜恭喜	OOOO
	
我已經知道念大學的時候	ORROOOOOOOO
你很用功了	OOOOR
	
林美美	OOO
真的對不起	OOMOO
我不能參加慶祝會	OOOOOOOO
因為最近我的工作有很多事	OOOOOOOOOOOO
我每天很晚回家	OOOMOOO
	
所以我打算給你送一個禮物	OOOOOWWWWWWW
恭喜恭喜找到工作	SSSSMOOO
	
我從日本會把買一個禮拜送給你	OWWWWROOOSSOOO
	
恭喜	OO
恭喜你啊	OORO
你有新的工作	OOOOOO
最近找到工作很難	OOMOOOOO
我還沒有工作	OOOOMO
	
我得參加我的弟弟的生日會	OOOOOOOOOOOO
他是十六歲	OSOOO
他的生日是在一樣的天	OOOOROOOOS
我告訴愛美替我給你這個片	OSSOOOOSOOSS
	
我知道你最近找到工作	OOOOOOOOOO
所以先要告訴你：「恭喜發財	OOWWOOOOOSSSS
」	O
然後祝你：「你的新工作讓你高興」	OOOOOOOOOOOMOOOO
	
我很晚才發現你已經決定禮拜四開	OOOOOOOOOOOOOOO
所以恐怕我不能參加你的派對	OOOOOOOOOOOOO
對不起啊	OOOO
	
我聽說你剛找到工作	OOOOOOOOO
恭喜恭喜你	SSSSO
我知道你很用功再說聰明	OOOOOOOSSOO
所以你找到了很漂的工作	OOOOOOOSOOO
	
今天你的朋友有一個慶會	OOOOOOOOOSS
我真的不好意可是今天不能參加	OOOMOSRROOOOOO
	
我希望今天你開心	OOOOOOMO
和我們下星期可以聊天	SOOOOOOOOO
	
我聽說你找到工作	OOOOOOOO
恭喜恭喜	OOOO
	
然後	SS
我很想去慶祝會﹐可是那個時候我已經有事	OOOOOOOOOOOOOOOOOOO
我不能參加	OOOOO
	
先慶祝找到妳的工作	OSSMOOOOO
本來我打算參加慶祝會	OOOOOOOOOO
可是突然有事	OOOOOO
也許不能去慶祝會	OOOOOOOO
	
我朋友替我拿一張卡給妳看	OOOMOOOOSOOR
真的對不起	OOOOO
	
恭喜你找到工作	OOOOOOO
最近找工作很難找	OOROOOOO
所以這是很好的消息	OOOOOOOOO
	
下個星期我想你跟我一起去一家非常有名的飯店	OOOOOOMOOOOOOOOOOOOOO
如果我們在飯店外面吃	OOOOOOOOOS
我們可以看到一個漂漂亮亮的風景	OOOOOOOOOOOOOOO
你一定會喜歡	OOOOOO
	
我最近聽說你找到工作	OOOOOOOOOO
我真的慶祝你找到工作	OSSSSOOOOO
	
你找工作的時候	OOOOOOO
我很擔心你不找到作	OOOOOSSSS
可是現在我放心還有很高興	OOOOOOOMSOOO
	
我也聽說這個星期六你開一個慶祝會在你的家裡	OOOOOOOOOOMWWWWWWWWWW
	
原來我應該去你的慶祝會	OOOOOMOOOOO
可惜這個星期六我有很重要的事	OOOOOOOOOOOOOO
	
恭喜恭喜	OOOO
我很開心你找到工作	OOOOOOOOO
	
我真的想去	OOOOO
可是那天我有一個重要的事情所以我不能參加	OOOOOOOSOOOOOOOOOOOO
對不起啊	OOOO
	
恭喜你找到一份工作	OOOOOOOOO
你找到什麼工作？	OOOOOOOO
我也要參加慶祝會	OOSOOOOO
可是今天我有事所以不能去	OOOOOOOOOOOO
真對不起	OOOO
	
最近我也找到打工	OOOOOOOO
我對那個打工很有趣	OOOOOOOOS
所以我想畢業以後也要那個工作	OOOOOOOOOOMOOO
	
下次我們聊天的時候	OOOOOOOOO
我想告訴你我的打工是怎麼樣的	OOOOOOOOOOOOOO
還有你也告訴我你的工作是怎麼樣的	OOMOOOOOOOOOOOOO
好不好？	OOOO
恭喜你的新工作	OOOMOOO
我聽說這個禮拜六你要開一個舞會	OOOOOOOOOOOOOOO
可是那天我會很忙	OOOOOOOO
	
因為我男朋友要回國來看我	OOOOOOOOOOOO
我已經打算了跟他去玩	OOOOOWWWWW
所以我不能來	OOOOOO
對不起	OOO
	
現在找工作越來越難	OOOOOOOOO
我朋友也找工作找了很久	OOOOOOOOOOO
最近才找到了	OOOOOR
	
我覺得	OOO
因為你一直用功	OOOOOMS
所以你找得比別人快很多	OOOOOOOOOOO
好厲害喔	OOOO
	
我考完試以後	MOOOOO
再慶祝一次吧	MOOOOO
	
對不起	OOO
我真不能參加你的慶祝會	OSOOOOOOOOO
最近我爸爸給我打一個電話	OOOOOOOOMOOO
他說他不舒服	OOOOOO
他又頭疼又身體疼	OSOOROOM
	
甚麼時候開始工作嗎？要是你有空	MOOOOOOOROOOOOO
我們找個時間聊吧	OOOOOOSO
我隨便都可以	OSSMOO
	
我很高興你找到工作	OOOOOOOOO
真很好	ORO
	
我們的朋友告訴我	OOOOOOOO
你們明天下午二點開始有一個會	OOOOOOOOOOOOOS
我已經知道了	OOOOOO
所以我不能來	SSOOOS
不好意思	OOOO
	
明天一天我有事	OORROOO
我的日本朋友今天晚上從日本台灣來	OOOOOOOOOOOOOMOO
所以明天	OOOO
後天還有大後天我跟她一起玩兒	OOOOOOOOMOOOOO
我想你可是不能	OOOOOOO
真對不起	OOOO
	
我的朋友回國的以後	OOOOOOSOO
我請你吃飯	OOOOO
可以嗎？我要打算一起玩兒的事	OOOOOOSSOOOOOO
明天晚上我打電話給你	OOOOOOOOOO
	
電話中	OOO
告訴我你有時間的天	OOOOOOOOS
好	O
找到工作快樂	MOOORR
再見呢	OOR
	
我真的慶祝你	OOOSSO
可是對不起	OOOOO
我不能參加慶祝會	OOOOOMOO
	
因為慶祝會天是我媽媽的生日	OOOOOMOOOOOOO
我要去鄉下見媽媽	OOOOOOOO
	
可是我有一個重要的事情	OOOOOSOOOOO
不能參加	OOOO
對不起	OOO
讓你難過	OOOO
	
因為我不能	OOOOO
所以我準備小禮物	OOOOOMOO
請我的朋友送給你	OOOOOOOO
希望你喜歡	OOOOO
	
對不起	OOO
我不能去慶祝會	OOOOOOO
因為我跟父母一起去姑姑的家	OOOMOOOOOOOOO
	
最近我爸爸的妹妹生病了	OOOOOOOOOOO
她一個人住在家	OOOOOOO
所以我們一定去她的家	OOOOOOMOOO
	
我要參加慶祝會	OMOOOOO
可是發生這樣的事	OOOOMOOO
真的對不起	OOOOO
	
聽說你找到公司	OOOOOOO
祝你找到工作	SOOOOO
	
我很高興你找到了工作啊	OOOOOOOOOOO
這是一個很好的新聞	OOOOOOOSS
	
你覺得這個工作怎麼樣？難不難？我想現在你一定非常忙	OOOOOOOOOOOSOSOOOOOOOOOOO
因為剛剛開始工作的時候你要很多時間知道怎麼做事	OOOOOOOOOOOOSOOOOMOOOOO
	
我一切都很不錯	OOOOOOO
我上個年一直都上班了	OSSSOOOMOR
上個年我沒有一個星期沒上班啊	SSSOOOOOOOOOOO
所以最近我覺得真的很累	OOOOOOOOOOO
	
我跟我朋友打算去法國玩兒	OOOOOOOOOOOO
所以我不能去你打算的	OOOOOOORRO
對不起	OOO
	
有空的時候歡迎我這裡來	OOOOOOOMOOO
我打算下個月２０號回來	OOOOOOOOOOO
我回了國就打電話給你	OOOOOOOOOO
	
我先想恭喜你	OOOOOO
我很開心你找到工作	OOOOOOOOO
我希望你要喜歡在那個公司上班	OOOOSOOOOSOOOO
	
我真的要跟你聊一聊	OOOSOOOOO
可是我的工作很事情	OOOOOOOSS
	
我一有時間的時候	OOOOOOOO
就打電話給你	OOOOOO
去看你	MOO
再次恭喜恭喜	OOOOOO
	
謝謝你告訴我你在你的家要開一個吃東西的時間	OOOOOOOWWWWWOOOOOOOSS
	
不好意思	OOOO
可是我覺得我那時間不能參加	OOOOOOOMOOOOO
因為我已經跟我的弟弟打算去台灣	OOOOOOOOOOOOOOO
	
謝謝你給我補償來你的慶祝會	OOOOOSSSOOOOO
我想要參加	OOOOO
可是不好意思	OOOOOO
我覺得我那時候不能參加	OOOOOOOOOOO
	
因為你找得到一個工作	OOOSSSOOOO
所以我要恭喜你	OOOOOOO
	
我昨天接到你	OOOOOO
告訴我你找到了一份新工作的信	MOOOOOOOOOOORR
這件事讓我很高興	OOOOOOOO
	
雖然我很想參加你開的慶祝會	OOOOOOOOOOOOO
可是我妹妹那天開她的生日會	OOOOOOOMOOOOO
我非參加不可	OOOOOO
要不然她一定生我的氣	OOOOOOMOOO
	
對不起	OOO
到你的慶祝會我去不了	ROOOOOOOOO
我覺得很可惜	OOOOOO
不過我希望你不生我的氣	OOOOOOOMOOO
	
我希望過不了幾天	OOOOOOOO
我就收到你的消息	OOMOOOOO
請你告訴我你的新工作怎麼樣	OOOOOOOOOOOOO
	
恭喜恭喜妳找到一個工作	OOOOOOOMOOO
我知道你找得很久才找到了這麼好的工作	OOOOOSOOOOOOOOOOOO
	
恭喜恭喜你找到了工作	SSSSOOOOOO
對我來說是很好的消息	OOOOOOOOOO
	
我真的願意參加	OOOSSOO
可惜我身體不健康	OOOOOOOO
請你別生我的氣	OOOOOOO
我真的不好意思	OOOMOOO
	
我們改天一起吃飯好不好	OOOOOOOOOOO
我覺得你們會好好的玩	OOOOOOOOSO
	
我希望你的工作不讓你覺得太累	OOOOOOOOMOOOOO
你甚麼時候開始？	OOOOOOOM
我下次再參加	OOOOOO
好不好？	OOOO
這個會一定很熱鬧	OOSOOOOO
我很願意參加	OOSSOO
可是慶祝會的時候	OOOOOOOO
我們的公司有一個重要的事	OOOOOOOSOOOO
我們要去台南開一個很大的會	OOOOOOOOOOOOO
	
現在我要麻煩得文替我給你這張卡片和這個小禮物	OOOOOOOOOOMWWWWWWWWWWW
	
對不起	OOO
我不能參加你的慶祝會	OOOOOOOOOO
因為我媽媽的身體最近不怎麼樣	OOOOOOOOOOOOOO
連吃東西她都不能自己吃	OOOOOOOOOOO
所以我得照顧她	OOOOOOO
	
恭喜恭喜	OOOO
你找到了工作	OOOWWW
你甚麼時候開始上班？這個工作是什麼樣的工作？	OOOOOOOOOOOOOOOOOOOOOO
我不能參加	OOOOO
因為我那個時候放假要回去新加坡	OOOOOOOOOOOOOOO
我姐姐十二月的時候生了她的第一個的孩子	OOOOOOOOOOOOOOOOROO
	
你在哪裡找到了工作？我希望你的老闆會對你很好	OOOOOOROOMOOOOOOOOOOOO
	
我想給你直接說「恭喜	OOSOOOOOOO
」	O
可是因為我上個禮拜生病了	OOOOOOOOOOOO
現在我住在醫院	OOOOOOO
所以我不能去你的慶祝會	OOOOOOOOOOO
	
我的身體越來越好	OOOOOOOO
所以請你別擔心吧	OOOOOOOO
	
恭喜你終於找到工作	OOOOOOOOO
我知道妳很著急找工作	OOOOOOOMOO
所以我聽到你好消息的時候	OOOOOOMOOOOO
真的很高興	OOOOO
	
可惜我不能參加你的慶祝會	OOOOOOOOOOOO
其實我有話還沒跟你說的	OOOOOOOOOOR
昨天我媽媽生病了	OOOOOOOO
所以我要去醫院看我媽媽了	OOOOOOOOOOOR
真的對不起	OOOOO
	
最近在工作我有很多事情	OOOOOMOOOOO
因為時間不夠	OOOOOO
所以玩不了	OOSSS
	
因為我那天有一個重要的考試	OOOOOOOOOOOOO
所以我那天就對準備準備考試	OOOOOSRSSSSOO
	
放假來	OOR
的時候一定可能跟你一起見面	RRROOSSOORROO
我自己覺得不好意思	OOOOOMOOO
	
恭喜到底找到工作呢	OOSSOOOOS
我真是很開心	OOOROO
	
這個考試是我的這學期的最後考試	OOOOOOOOOOOOOMO
我得考	OOO
要不然我不可以參加下個學期	OOOOOOOOOOOOO
所以我不能去你的會	OOOOOOOOS
	
可是真的[Madv]對不起	OOOOMOOOOOOOO
我不能去你的會	OOSOOOO
	
因為最近我的工作太忙	OOOOOOOOOO
還有下個禮拜我應該出張日本去	OOOOOOOOOMSWWW
所以下次我們一起祝吧	OOOOOOOOSO
	
我開始上課以前	OMOOOOO
認識很多同學	OOMOOO
愛文也是我同學	OOOOOOO
	
愛文跟我從小時候念書	OOOOOOOOMO
玩	O
什麼的一起做	OOORRR
所以我們是最好朋友	OOOOOOOMO
	
愛文比我聰明	OOOOOO
可是愛文沒有我那麼用功	OOOOOOOOOOO
上課的時候我跟愛文常常談一談不知道的問題	OOOOOOOOOOOSSSOSSOOO
	
有一天	OOO
我跟愛文一起坐公車回家	OOOOOOOOOOO
那天我才知道我愛上愛文	OOOOOOOOOOO
	
我們常常坐公車回家去	OOOOMOOOOO
今天公車裡有很多人	OOOOOOOOO
我覺得奇怪	OOOMO
因為平常公車裡沒有很多人	OOOOOOOOOOOO
	
下午三點四十分鐘電影開始	OOOOOOOOOOOO
我們覺得那個電影有興趣	OOOOOSOOMSS
我覺得她也喜歡看那個電影	OOOOOOOOOOOO
	
看電影以後	OMOOO
我們一起去吃晚飯	OOOOOOOO
然後回家	OOOO
因為天氣已經黑了	OOSSOOOO
	
每個月一次他喜歡看電影	OOOWWWWWWOO
所以起床的時候他決定跟他的女朋友一起去看	OOOOOOOOOOOOOOOOOOOO
	
上數學課的時候他問陳水扁同學最好看的電影是什麼	OOOOOOOOOOOOOOOOOOOOOOO
水扁回答他覺得他的女朋友一定會愛「瓦力」的電影	OOOOOOOOOOOOOOOSOOOOOOO
	
所以坐公車的時候	OOOOOOOO
英九告訴小美於關「瓦力」的電影	OOOOOOSSOOOOOOO
她已經知道英九會付她的電影票	OOOOOOOOOOOOOO
	
小明六點半在床上了	OOOOOMOOR
他覺得每天那麼早床上對他的身體不太好	OOOOOOOOSSOOOOOOOO
	
老師看到他們就說〝你們得好好地念書才上大學〝	OOOOOOOOOOOOOOOOOOMOOO
小明覺得生氣的時候	OOOOOORRR
老師真的很嘮叨	MOOOOOO
	
下課以後他跟女朋友上公車到別的地方去	OOOOOOOOOSOOOOOOOO
公車裡沒有坐的地方所以他們得站著去	OOOOOOOOOOOOOOOOR
	
他們決定還是去看電影	OOOOOOOOOO
他們倆個對美國電影有興趣	OOOROOOOOOOO
	
上課的時候	OOOOO
他教他的女朋友算課	OOOOOOOSS
	
女朋友說「為什麼你想看這個電影？好像孩子喜歡的電影」	OOOOOOOOOOOOSOOOOOOOOOOOOO
他說「我聽說這個電影真不錯	OOOOOOOSOOOOO
我們一定看吧	OOSSOO
」	O
	
可是女朋友說「不要」	OOOOOOOOOO
他說著說著就哭了	OOOOOOOO
女朋友不太喜歡那種電影	OOOOOOOOOOO
可是那男朋友哭了	OOSOOOOO
所以決定看這個電影	OOOOOOSOO
	
他今天早上六點半起床	OOOOOOOOOO
起床以後	OOOO
開始準備去學校了	OOOOOOOR
今天他有七個課	OOOOOSO
	
上數學課的時候	OOOOOOO
他的女朋友坐他的旁邊	OOOOOSOOOO
所以有時候他上著跟她聊天	OOOOOORROOOO
有時候他教她數學的問題	OOOOOOOOOOO
	
他們很喜歡聊天	OOOOOOO
連那個時候也他們聊天了	ROOOOWWWOOO
	
今天電影院客滿	OOOOOOO
而且電影的內容是不錯	OOOOOOOROO
對他們很有興趣	OOOMSSS
所以他們打算推薦朋友們試試看	OOOOOOOOOOOOOO
	
看電影以後	OMOOO
他們去吃晚飯了	OOOOOOO
吃完以後	OOOO
回家了	MOO
	
下了課	OOO
他們就坐公車到電影院去了	OOOOOOOOOOOO
在公車上他們一直聊天了	OOOOOOOOOOR
	
看著電影的時候	OOOOOOO
他們都很緊張了	OOOOOOR
所以看完了以後	OOOOOOO
那兩個人都沒看懂那部電影的內容	OOOOOOOOOOOOOOO
	
錢的浪費	OSOO
可是對他們很開心了一天吧	OOOOOMOORMOO
	
王大衛非常聰明	OOOOOOO
所以他的同學都很喜歡跟他說話	OOOOOOOOOOOOOO
還有請他幫他們念書	OOOOSOOOO
	
下了課本來王大衛馬上回家	OOOOOOOOMOOO
他是一個很有空的學生	OOOOOMOOOO
他每天寫功課	OOOOOO
還念書	OOO
念得四個小時的書	MROOOOOO
	
可是今天是星期五﹐明天沒有上課	OOOOOOOOOOOSSOO
所以他跟他的好朋友美美一起去看電影	OOOMOOOOOOOOOOOOO
	
今天早上也六點半起床了	OOOOOOOOOOO
我覺得很累	OOOOO
我要多睡覺	OSOOO
可是七點半上課開始	OOOOOWWWW
所以我得起床	OOOOOO
	
第一課時間是數學	OOMRROOO
我我的老師教給我們大部分的內容都聽得懂	WWWWWWWWWWWWWWWOOOO
	
可是我的女朋友很多部分聽不懂	OOOOOOOOOOOOOO
所以我替老師教她給數學	OOOOOOOOROO
	
然後看到最近很有名的電影	OOOOOOOOOOOO
這篇電影很有意思	OSOOOOOO
	
今天是星期五王先生很開心	OOOOOOOOOOOO
因為明天沒有上課	OOOOSSOO
	
李美英要去電影院看新的美國電影	OOOOOOOOOOOOOOO
因為她聽說那個電影真好看	OOOOOOSOOOOO
	
昨天	OO
我六點半起床了	OOOOMOO
起了床以後	OOOOO
我馬上吃了一點早餐	OOOOOOOOO
看報了	MOO
	
下了課的時候	OOOSSS
我跟我朋友一次坐了公共汽車	OOOOOSSOOOOOO
去到了書店買我們的新課本	SSOOOOOOOOOO
	
買了本以後	OOSOO
我們去了一個很有名的餐廳吃義大利麵	OOOOOSOOOOOOOOOOO
	
我們明天打算看別的電影	OOWWWWOOOOO
希望別的電影比較好看	OOOOOOOOOO
	
這個男學生今天六點半起來了	OOOOOOOOOOMOR
	
他們從公車站走路走二十分鐘才到電影院了	OOOOOOOOOWWWWWWWWWW
可是很多人賣票的地方前面等	OOOOOMOOOOOOS
	
他一看到等買票的人	OOOOOMOOO
就跟她說他要去便利店買喝的東西	OOOOOOOOOOOOOOO
她一買了兩張票	OSOOOOO
他就把兩瓶可樂拿回來了	OSOOOOOOOOO
	
在學校學生很小	ROOMOOS
可是那個學校很有名	OOOOOOOOO
	
下了課以後他跟王小姐一起去玩	OOOOOOOOOOOOOO
他們下午三點在學校門口見面	OOOOOOOOOOOOO
見面了以後	OWWOO
他們一起坐公車	OOOOMOO
	
您好？我叫文德	OOOOOOO
現在我要說今天的日記	OOOOSOOOOO
	
今天我六點半起床了	OOOOOOOOO
比平常早一點起床	OOOOOOOO
身體有一點累	RROOOO
洗臉	OO
刷牙	OO
準備上學校	OOSOO
	
第一課是數學	OOMOOO
我很喜歡數學	OOOOOO
所以馬上就到休息的時間到了	OOOOOOOOOOORO
	
我們下了課一起坐公車去西門看電影	OOOOOOOOOOOOOOOO
到西門我們先買票	OOOMOOOO
	
電影開始的時間還不到	OOOOOOOOSO
我們先去吃一點東西了	OOOOOWWWWW
	
我們看美國電影	OOOMOOO
我覺得很有意思	OOOOOOO
我希望你有空的時候看這部電影	OOOOOOOOOMOOOO
	
可是他很用功	SSOOOO
所以他覺得每天很早起床讓她太累	SSOOOOOOOOOOOOO
起床以後	OOOO
他洗手	OOO
洗臉	OO
吃早飯什麼的	OOOOOO
就去大學	MOOO
	
要是他的同學念不懂書還是聽不懂老師教	OOOOOOSOOSOOOOOOOO
他可以教他們	OOOOOO
	
我們上課到中午三點鐘	OOOOOSSOOO
下了課我跟朋友馬上就去公車站	OOOOOOOOOOOOOO
	
我們等著等著說話	OOSSSSMM
公車來了	OOOO
我們常常在上站著	OOSSOMOO
所以老人可以坐著	OOOOOOOO
	
下了車以馬上就到餐廳去吃午飯再去看電影	OOOSOOOOOOOOOOOOOOO
我們很喜歡看電影	OOOOOOOO
中文電影、英文電影什麼的我們都喜歡看	OOOOOOOOOOOOOOOOOO
	
文德六點半起床	OOOOOOO
洗臉以後	OOOO
吃早餐	OOO
刷牙好了以後馬上去上課	OOROOOOOOOO
	
她對文德很客氣所以她教我	OOOOOOOOOOOS
她說完以後文德就知道	OOOOOOOOSS
	
他們一起吃中餐	OOOOOOO
還以幾個課完以後我看手錶	RROSOSOOSSOO
五點到了	OOOO
文德要跟美麗一起看電影	OOOOOOOOMOO
	
然後她去上課	OOOOOO
他常常在教室跟個同學說話	OOOOOOOROOOO
他比同學用功極了	OOOOOOSM
	
他的好朋友叫文得	OOOOOOOO
他們常常下課以後一起去看電影	OOWWWWWWOOOOOO
他對電影有興趣	OOOOOOO
什麼電影他都喜歡看	OOOOOOOOO
	
只有一個問題	OOOOOO
大明什麼時候都沒去運動	OOSSSSSSSSS
所以有的時候他的身體不健康	OOOOOOOOOOOOO
他常需要去看醫生	OOOOOOOO
	
張漢族今天早上六點半起床	OOOOOOOOOOOO
